state_name,county,city,city_ascii
Alabama,Covington,Horn Hill,Horn Hill
Alabama,Covington,Carolina,Carolina
Alabama,Covington,Heath,Heath
Alabama,Covington,Sanford,Sanford
Alabama,Covington,Onycha,Onycha
Alabama,Covington,Gantt,Gantt
Alabama,Covington,Libertyville,Libertyville
Alabama,Crenshaw,Luverne,Luverne
Alabama,Crenshaw,Brantley,Brantley
Alabama,Crenshaw,Dozier,Dozier
Alabama,Crenshaw,Rutledge,Rutledge
Alabama,Crenshaw,Glenwood,Glenwood
Alabama,Crenshaw,Petrey,Petrey
Alabama,Cullman,Cullman,Cullman
Alabama,Cullman,Hanceville,Hanceville
Alabama,Cullman,Good Hope,Good Hope
Alabama,Cullman,Baileyton,Baileyton
Alabama,Cullman,South Vinemont,South Vinemont
Alabama,Cullman,Holly Pond,Holly Pond
Alabama,Cullman,Fairview,Fairview
Alabama,Cullman,Berlin,Berlin
Alabama,Cullman,Garden City,Garden City
Alabama,Cullman,West Point,West Point
Alabama,Cullman,Dodge City,Dodge City
Alabama,Cullman,East Point,East Point
Alabama,Cullman,Joppa,Joppa
Alabama,Cullman,Colony,Colony
Alabama,Dale,Ozark,Ozark
Alabama,Dale,Fort Rucker,Fort Rucker
Alabama,Dale,Daleville,Daleville
Alabama,Dale,Midland City,Midland City
Alabama,Dale,Level Plains,Level Plains
Alabama,Dale,Newton,Newton
Alabama,Dale,Ariton,Ariton
Alabama,Dale,Pinckard,Pinckard
Alabama,Dale,Grimes,Grimes
Alabama,Dale,Napier Field,Napier Field
Alabama,Dale,Clayhatchee,Clayhatchee
Alabama,Dallas,Selma,Selma
Alabama,Dallas,Valley Grande,Valley Grande
Alabama,Dallas,Selmont-West Selmont,Selmont-West Selmont
Alabama,Dallas,Orrville,Orrville
Alabama,DeKalb,Fort Payne,Fort Payne
Alabama,DeKalb,Rainsville,Rainsville
Alabama,DeKalb,Henagar,Henagar
Alabama,DeKalb,Crossville,Crossville
Alabama,DeKalb,Sylvania,Sylvania
Alabama,DeKalb,Collinsville,Collinsville
Alabama,DeKalb,Geraldine,Geraldine
Alabama,DeKalb,Fyffe,Fyffe
Alabama,DeKalb,Powell,Powell
Alabama,DeKalb,Ider,Ider
Alabama,DeKalb,Valley Head,Valley Head
Alabama,DeKalb,Pine Ridge,Pine Ridge
Alabama,DeKalb,Shiloh,Shiloh
Alabama,DeKalb,Mentone,Mentone
Alabama,DeKalb,Hammondville,Hammondville
Alabama,Elmore,Millbrook,Millbrook
Alabama,Elmore,Wetumpka,Wetumpka
Alabama,Elmore,Holtville,Holtville
Alabama,Elmore,Redland,Redland
Alabama,Elmore,Tallassee,Tallassee
Alabama,Elmore,Emerald Mountain,Emerald Mountain
Alabama,Elmore,Deatsville,Deatsville
Alabama,Elmore,Elmore,Elmore
Alabama,Elmore,Blue Ridge,Blue Ridge
Alabama,Elmore,Eclectic,Eclectic
Alabama,Elmore,Coosada,Coosada
Alabama,Escambia,Atmore,Atmore
Alabama,Escambia,Brewton,Brewton
Alabama,Escambia,East Brewton,East Brewton
Alabama,Escambia,Flomaton,Flomaton
Alabama,Escambia,Riverview,Riverview
Alabama,Escambia,Pollard,Pollard
Alabama,Etowah,Gadsden,Gadsden
Alabama,Etowah,Rainbow City,Rainbow City
Alabama,Etowah,Southside,Southside
Alabama,Etowah,Attalla,Attalla
Alabama,Etowah,Glencoe,Glencoe
Alabama,Etowah,Hokes Bluff,Hokes Bluff
Alabama,Etowah,Whitesboro,Whitesboro
Alabama,Etowah,Sardis City,Sardis City
Alabama,Etowah,Carlisle-Rockledge,Carlisle-Rockledge
Alabama,Etowah,Coats Bend,Coats Bend
Alabama,Etowah,Gallant,Gallant
Alabama,Etowah,Altoona,Altoona
Alabama,Etowah,Ballplay,Ballplay
Alabama,Etowah,Tidmore Bend,Tidmore Bend
Alabama,Etowah,Lookout Mountain,Lookout Mountain
Alabama,Etowah,Egypt,Egypt
Alabama,Etowah,New Union,New Union
Alabama,Etowah,Walnut Grove,Walnut Grove
Alabama,Etowah,Reece City,Reece City
Alabama,Etowah,Ivalee,Ivalee
Alabama,Etowah,Bristow Cove,Bristow Cove
Alabama,Etowah,Ridgeville,Ridgeville
Alabama,Fayette,Fayette,Fayette
Alabama,Fayette,Berry,Berry
Alabama,Fayette,Glen Allen,Glen Allen
Alabama,Fayette,Belk,Belk
Alabama,Franklin,Russellville,Russellville
Alabama,Franklin,Red Bay,Red Bay
Alabama,Franklin,Phil Campbell,Phil Campbell
Alabama,Franklin,Vina,Vina
Alabama,Franklin,Hodges,Hodges
Alabama,Franklin,Spruce Pine,Spruce Pine
Alabama,Franklin,Belgreen,Belgreen
Alabama,Geneva,Geneva,Geneva
Alabama,Geneva,Hartford,Hartford
Alabama,Geneva,Slocomb,Slocomb
Alabama,Geneva,Malvern,Malvern
Alabama,Geneva,Samson,Samson
Alabama,Geneva,Black,Black
Alabama,Geneva,Coffee Springs,Coffee Springs
Alabama,Geneva,Eunola,Eunola
Alabama,Greene,Eutaw,Eutaw
Alabama,Greene,Forkland,Forkland
Alabama,Greene,Boligee,Boligee
Alabama,Greene,Union,Union
Alabama,Hale,Moundville,Moundville
Alabama,Hale,Greensboro,Greensboro
Alabama,Hale,Akron,Akron
Alabama,Hale,Newbern,Newbern
Alabama,Henry,Headland,Headland
Alabama,Henry,Abbeville,Abbeville
Alabama,Henry,Newville,Newville
Alabama,Henry,Haleburg,Haleburg
Alabama,Houston,Dothan,Dothan
Alabama,Houston,Taylor,Taylor
Alabama,Houston,Ashford,Ashford
Alabama,Houston,Cowarts,Cowarts
Alabama,Houston,Kinsey,Kinsey
Alabama,Houston,Rehobeth,Rehobeth
Alabama,Houston,Webb,Webb
Alabama,Houston,Cottonwood,Cottonwood
Alabama,Houston,Columbia,Columbia
Alabama,Houston,Avon,Avon
Alabama,Houston,Gordon,Gordon
Alabama,Houston,Madrid,Madrid
Alabama,Jackson,Scottsboro,Scottsboro
Alabama,Jackson,Bridgeport,Bridgeport
Alabama,Jackson,Stevenson,Stevenson
Alabama,Jackson,Woodville,Woodville
Alabama,Jackson,Skyline,Skyline
Alabama,Jackson,Pisgah,Pisgah
Alabama,Jackson,Section,Section
Alabama,Jackson,Hollywood,Hollywood
Alabama,Jackson,Hytop,Hytop
Alabama,Jackson,Pleasant Groves,Pleasant Groves
Alabama,Jackson,Dutton,Dutton
Alabama,Jackson,Langston,Langston
Alabama,Jackson,Paint Rock,Paint Rock
Alabama,Jefferson,Birmingham,Birmingham
Alabama,Jefferson,Hoover,Hoover
Alabama,Jefferson,Vestavia Hills,Vestavia Hills
Alabama,Jefferson,Homewood,Homewood
Alabama,Jefferson,Trussville,Trussville
Alabama,Jefferson,Bessemer,Bessemer
Alabama,Jefferson,Mountain Brook,Mountain Brook
Alabama,Jefferson,Hueytown,Hueytown
Alabama,Jefferson,Center Point,Center Point
Alabama,Jefferson,Gardendale,Gardendale
Alabama,Jefferson,McCalla,McCalla
Alabama,Jefferson,Irondale,Irondale
Alabama,Jefferson,Leeds,Leeds
Alabama,Jefferson,Clay,Clay
Alabama,Jefferson,Fairfield,Fairfield
Alabama,Jefferson,Fultondale,Fultondale
Alabama,Jefferson,Pleasant Grove,Pleasant Grove
Alabama,Jefferson,Forestdale,Forestdale
Alabama,Jefferson,Pinson,Pinson
Alabama,Jefferson,Tarrant,Tarrant
Alabama,Jefferson,Grayson Valley,Grayson Valley
Alabama,Jefferson,Midfield,Midfield
Alabama,Jefferson,Kimberly,Kimberly
Alabama,Jefferson,Adamsville,Adamsville
Alabama,Jefferson,Mount Olive,Mount Olive
Alabama,Jefferson,Warrior,Warrior
Alabama,Jefferson,Brighton,Brighton
Alabama,Jefferson,Graysville,Graysville
Alabama,Jefferson,Morris,Morris
Alabama,Jefferson,Lipscomb,Lipscomb
Alabama,Jefferson,Concord,Concord
Alabama,Jefferson,Sylvan Springs,Sylvan Springs
Alabama,Jefferson,Rock Creek,Rock Creek
Alabama,Jefferson,Brookside,Brookside
Alabama,Jefferson,Minor,Minor
Alabama,Jefferson,McDonald Chapel,McDonald Chapel
Alabama,Jefferson,Edgewater,Edgewater
Alabama,Jefferson,Mulga,Mulga
Alabama,Jefferson,Trafford,Trafford
Alabama,Jefferson,West Jefferson,West Jefferson
Alabama,Jefferson,Maytown,Maytown
Alabama,Jefferson,North Johns,North Johns
Alabama,Jefferson,Cardiff,Cardiff
Alabama,Lamar,Vernon,Vernon
Alabama,Lamar,Sulligent,Sulligent
Alabama,Lamar,Millport,Millport
Alabama,Lamar,Kennedy,Kennedy
Alabama,Lamar,Detroit,Detroit
Alabama,Lamar,Beaverton,Beaverton
Alabama,Lauderdale,Florence,Florence
